time,x,y,z,MF
9.483,-0.69,19.28,-34.23,39.29
9.502,-0.69,19.28,-34.23,39.29
9.525,-0.69,19.98,-34.91,40.22
9.544,-2.09,19.28,-35.59,40.52
9.563,0.00,20.67,-34.91,40.57
9.588,-2.09,19.98,-36.27,41.46
9.603,-2.09,19.98,-34.91,40.27
9.624,-2.09,20.67,-34.91,40.62
9.647,0.00,19.98,-36.27,41.40
9.664,-4.19,19.98,-35.59,41.02
9.685,-1.39,21.37,-35.59,41.53
9.704,-0.69,19.28,-34.23,39.29
9.725,-0.69,19.28,-34.91,39.88
9.745,-2.09,19.98,-34.91,40.27
9.768,-2.09,20.67,-33.55,39.46
9.785,-1.39,19.28,-34.91,39.90
9.806,-2.79,20.67,-34.91,40.66
9.825,-0.69,19.28,-34.23,39.29
9.855,0.70,19.98,-33.55,39.05
9.865,0.00,19.98,-34.91,40.22
9.888,-2.09,21.37,-34.23,40.41
9.906,0.00,20.67,-35.59,41.15
9.925,-0.69,17.18,-34.91,38.91
9.945,-0.69,20.67,-34.23,39.99
9.965,-0.69,19.98,-34.23,39.64
9.992,-0.69,20.67,-34.91,40.57
10.006,-0.69,19.98,-33.55,39.05
10.027,-2.09,20.67,-35.59,41.21
10.046,-1.39,19.28,-34.91,39.90
10.067,-1.39,19.98,-34.23,39.65
10.087,0.00,19.98,-33.55,39.04
10.108,-1.39,19.98,-34.91,40.24
10.133,-0.69,19.28,-34.91,39.88
10.148,-2.09,19.28,-35.59,40.52
10.167,-2.79,19.28,-36.27,41.16
10.188,-1.39,19.98,-34.23,39.65
10.208,-0.69,19.28,-33.55,38.70
10.229,-2.09,18.58,-34.23,39.00
10.250,0.00,19.28,-36.94,41.67
10.273,-0.69,17.88,-34.91,39.23
10.289,-1.39,18.58,-35.59,40.17
10.309,-2.09,19.28,-34.91,39.93
10.330,-0.69,18.58,-34.91,39.55
10.349,-1.39,19.28,-34.23,39.31
10.370,-2.09,19.98,-35.59,40.86
10.389,-1.39,18.58,-34.91,39.57
10.410,-2.09,18.58,-34.91,39.60
10.431,0.70,21.37,-33.55,39.78
10.451,-2.09,21.37,-34.23,40.41
10.471,-2.09,20.67,-35.59,41.21
10.491,-2.09,19.28,-34.91,39.93
10.511,-2.09,22.07,-33.55,40.21
10.530,-0.69,22.07,-33.55,40.16
10.550,-1.39,19.98,-34.91,40.24
10.571,-1.39,19.28,-34.23,39.31
10.591,-2.09,19.98,-34.23,39.68
10.611,-3.49,19.28,-34.91,40.03
10.631,-1.39,19.98,-34.91,40.24
10.651,-1.39,19.98,-35.59,40.83
10.671,-1.39,19.98,-34.91,40.24
10.692,0.00,19.98,-35.59,40.81
10.712,-2.09,21.37,-34.91,40.98
10.732,0.00,19.28,-35.59,40.47
10.752,-3.49,20.67,-33.55,39.56
10.775,-2.09,19.28,-34.91,39.93
10.792,-0.69,19.98,-34.23,39.64
10.817,-0.69,20.67,-35.59,41.16
10.833,-1.39,19.28,-34.91,39.90
10.854,-0.69,19.98,-34.23,39.64
10.875,0.00,18.58,-32.19,37.16
10.894,-0.69,19.98,-34.91,40.22
10.914,0.00,20.67,-33.55,39.41
10.934,-0.69,19.98,-34.23,39.64
10.953,0.00,21.37,-34.91,40.93
10.973,-1.39,19.98,-34.91,40.24
10.993,-0.69,20.67,-34.91,40.57
11.014,-2.09,20.67,-33.55,39.46
11.037,-2.09,19.98,-34.23,39.68
11.054,-1.39,19.28,-33.55,38.72
11.075,-1.39,19.98,-35.59,40.83
11.094,-0.69,19.98,-33.55,39.05
11.114,-2.79,19.28,-36.27,41.16
11.137,0.00,19.28,-34.91,39.87
11.155,-0.69,19.98,-34.91,40.22
11.175,-1.39,19.98,-34.23,39.65
11.194,-1.39,19.98,-34.91,40.24
11.215,-1.39,19.28,-34.91,39.90
11.236,-1.39,18.58,-34.23,38.97
11.256,-1.39,20.67,-34.23,40.01
11.277,-1.39,19.98,-34.23,39.65
11.296,-0.69,20.67,-32.87,38.84
11.316,0.70,19.28,-34.23,39.29
11.335,-1.39,19.28,-36.27,41.09
11.358,-1.39,20.67,-34.91,40.59
11.376,-1.39,20.67,-34.91,40.59
11.397,-1.39,18.58,-34.91,39.57
11.417,-0.69,19.28,-34.23,39.29
11.436,-2.79,19.28,-34.91,39.97
11.456,-1.39,19.28,-33.55,38.72
11.491,-1.39,19.98,-34.91,40.24
11.497,0.00,19.98,-32.87,38.46
11.517,0.00,19.98,-34.91,40.22
11.537,-1.39,19.28,-34.91,39.90
11.557,-0.69,18.58,-34.91,39.55
11.578,0.00,20.67,-33.55,39.41
11.599,-1.39,19.28,-34.91,39.90
11.620,-0.69,19.28,-36.27,41.08
11.646,-2.79,19.98,-34.91,40.31
11.659,-2.79,19.98,-34.23,39.73
11.678,-1.39,18.58,-35.59,40.17
11.699,-2.09,22.07,-34.23,40.78
11.722,-0.69,19.28,-34.23,39.29
11.739,0.00,19.28,-34.23,39.28
11.767,-1.39,19.28,-34.91,39.90
11.779,-2.09,19.28,-34.91,39.93
11.799,-2.09,19.98,-33.55,39.10
11.823,-0.69,19.98,-34.23,39.64
11.842,-0.69,19.28,-35.59,40.48
11.860,-1.39,19.28,-34.23,39.31
11.880,0.00,19.28,-36.27,41.07
11.900,-2.09,19.28,-36.27,41.12
11.921,-1.39,19.28,-34.91,39.90
11.941,-2.09,22.07,-36.27,42.50
11.962,-0.69,17.88,-32.87,37.42
11.981,0.00,20.67,-34.91,40.57
12.001,-2.09,19.28,-34.91,39.93
12.020,0.00,17.88,-36.27,40.43
12.041,-0.69,19.98,-34.91,40.22
12.062,-1.39,20.67,-34.91,40.59
12.081,-0.69,19.28,-34.91,39.88
12.102,-1.39,19.98,-35.59,40.83
12.121,-1.39,19.98,-34.91,40.24
12.141,-1.39,19.28,-34.23,39.31
12.162,-0.69,19.98,-33.55,39.05
12.182,-1.39,19.28,-33.55,38.72
12.203,-0.69,18.58,-34.23,38.95
12.222,-1.39,18.58,-35.59,40.17
12.242,0.70,19.28,-33.55,38.70
12.264,-1.39,18.58,-33.55,38.37
12.284,-1.39,21.37,-32.87,39.23
12.305,-1.39,19.28,-36.27,41.09
12.335,-2.09,18.58,-35.59,40.20
12.343,-1.39,19.98,-34.91,40.24
12.364,-0.69,20.67,-36.27,41.75
12.388,-0.69,20.67,-34.91,40.57
12.405,-0.69,19.28,-34.91,39.88
12.425,-2.09,19.28,-36.27,41.12
12.444,-0.69,19.28,-34.23,39.29
12.465,-1.39,20.67,-35.59,41.18
12.484,-2.79,20.67,-36.27,41.84
12.503,-2.09,22.07,-35.59,41.93
12.527,-1.39,20.67,-34.23,40.01
12.545,-1.39,19.28,-36.27,41.09
12.565,1.40,19.98,-33.55,39.07
12.591,0.00,20.67,-32.87,38.83
12.605,-1.39,18.58,-34.23,38.97
12.625,0.00,18.58,-34.91,39.54
12.646,-0.69,18.58,-34.91,39.55
12.666,-2.79,21.37,-35.59,41.60
12.686,-0.69,19.98,-34.91,40.22
12.715,-2.09,17.88,-34.23,38.67
12.725,-2.09,21.37,-32.87,39.26
12.745,-2.09,19.98,-35.59,40.86
