time,x,y,z,MF
10.953,13.33,-12.22,-58.85,61.56
10.971,13.66,-12.24,-58.40,61.22
10.990,13.46,-12.35,-58.57,61.35
11.021,13.74,-12.26,-58.64,61.46
11.032,13.67,-12.20,-58.96,61.74
11.048,13.69,-12.14,-58.69,61.48
11.068,13.89,-12.19,-58.51,61.36
11.109,13.88,-12.18,-58.70,61.53
11.111,13.70,-12.35,-58.49,61.33
11.135,13.72,-12.36,-58.95,61.78
11.141,13.66,-12.19,-59.10,61.87
11.161,13.48,-12.10,-58.82,61.55
11.186,13.77,-12.13,-58.83,61.63
11.199,13.68,-12.21,-58.78,61.57
11.223,13.49,-12.11,-58.68,61.42
11.241,13.76,-12.36,-58.40,61.26
11.259,13.57,-12.25,-58.91,61.68
11.278,14.06,-12.24,-58.89,61.77
11.308,13.88,-12.18,-58.70,61.53
11.314,13.51,-12.24,-59.09,61.84
11.335,13.77,-12.29,-58.82,61.65
11.356,13.86,-12.16,-58.33,61.17
11.375,13.46,-12.32,-58.48,61.26
11.393,13.55,-12.23,-58.54,61.32
11.423,13.78,-12.26,-58.69,61.52
11.430,13.73,-12.29,-58.82,61.64
11.450,13.68,-12.29,-58.82,61.62
11.472,13.77,-12.29,-58.22,61.08
11.492,13.42,-12.40,-58.42,61.21
11.525,13.61,-12.24,-58.45,61.24
11.535,13.53,-12.33,-58.81,61.59
11.552,13.49,-12.19,-58.67,61.43
11.565,13.03,-12.17,-59.07,61.70
11.589,13.30,-12.27,-58.66,61.39
11.621,13.54,-12.45,-58.75,61.56
11.625,13.63,-12.29,-58.77,61.57
11.644,13.49,-12.30,-58.76,61.53
11.664,13.62,-12.17,-58.96,61.72
11.681,13.40,-12.30,-58.71,61.46
11.701,13.23,-12.17,-58.94,61.62
11.719,13.37,-12.28,-58.98,61.72
11.743,13.51,-12.32,-58.44,61.23
11.762,13.61,-12.20,-58.45,61.24
11.780,13.63,-12.37,-58.81,61.62
11.799,13.72,-12.25,-58.87,61.68
11.818,13.25,-12.11,-58.67,61.35
11.834,13.30,-12.11,-58.67,61.36
11.854,13.57,-12.21,-58.31,61.10
11.876,13.70,-12.43,-58.49,61.34
11.894,13.59,-12.38,-58.11,60.95
11.928,13.84,-12.19,-58.51,61.35
11.964,13.54,-12.22,-58.72,61.49
11.968,13.55,-12.15,-58.59,61.35
11.970,13.63,-12.29,-58.77,61.57
11.988,13.50,-12.39,-58.57,61.37
12.006,13.53,-12.33,-58.90,61.68
12.026,13.44,-12.30,-58.76,61.51
12.047,13.81,-12.39,-59.00,61.85
12.068,13.92,-12.33,-58.78,61.65
12.085,13.59,-12.26,-58.72,61.51
12.112,13.60,-12.31,-58.58,61.38
12.143,13.52,-12.32,-58.99,61.76
12.147,13.61,-12.39,-58.48,61.31
12.164,13.82,-12.37,-58.17,61.06
