time,x,y,z
8018,102,-62,-826
8027,102,-64,-820
8037,97,-67,-829
8047,95,-65,-821
8057,100,-64,-816
8067,103,-61,-819
8077,107,-53,-823
8087,104,-58,-826
8096,95,-63,-821
8106,99,-59,-827
8116,98,-56,-828
8126,104,-56,-824
8136,98,-56,-824
8146,106,-60,-824
8155,97,-57,-829
8165,96,-56,-820
8175,105,-63,-817
8185,91,-59,-821
8195,102,-54,-820
8205,98,-60,-820
8215,102,-58,-822
8224,99,-63,-827
8234,105,-63,-819
8244,96,-66,-826
8254,98,-58,-828
8264,102,-66,-826
8274,93,-57,-831
8284,101,-63,-817
8293,97,-63,-823
8303,105,-53,-825
8313,98,-62,-816
8323,99,-57,-825
8333,104,-60,-820
8343,96,-52,-822
8352,107,-61,-819
8362,97,-63,-817
8372,94,-66,-818
8382,94,-54,-828
8392,93,-57,-823
8402,100,-60,-818
8412,103,-59,-817
8421,96,-62,-830
8431,96,-58,-828
8441,99,-63,-821
8451,98,-60,-824
8461,102,-58,-824
8471,99,-57,-819
8481,96,-56,-826
8490,99,-59,-823
8500,106,-66,-820
8510,93,-63,-829
8520,97,-59,-817
8530,102,-66,-820
8540,95,-55,-827
8549,98,-62,-818
8559,89,-61,-823
8569,97,-55,-817
8579,102,-56,-820
8589,104,-60,-826
8599,108,-66,-820
8609,96,-66,-828
8619,98,-62,-822
8628,109,-63,-821
8638,99,-57,-821
8648,104,-62,-832
8658,100,-60,-824
8668,100,-56,-820
8678,98,-60,-826
8688,93,-57,-827
8697,103,-61,-825
8707,100,-56,-826
8717,98,-64,-824
8727,96,-60,-828
8737,105,-51,-819
8747,92,-54,-828
8757,95,-61,-817
8766,99,-59,-823
8776,95,-59,-823
8786,93,-63,-817
8796,101,-53,-825
8806,100,-60,-822
8816,101,-59,-821
8826,99,-57,-817
8836,104,-60,-822
8845,102,-64,-826
8855,101,-57,-821
8865,96,-64,-828
8875,104,-54,-826
8885,96,-64,-822
8895,96,-58,-824
8905,102,-56,-822
8914,95,-57,-823
8924,100,-60,-824
8934,100,-66,-822
8944,96,-66,-824
8954,96,-68,-820
8964,105,-63,-825
8974,100,-66,-830
8983,97,-65,-825
8993,102,-58,-830
9003,100,-58,-832
9013,92,-60,-828
9023,97,-53,-831
9033,106,-58,-822
9043,97,-55,-825
9052,102,-64,-828
9062,99,-61,-821
9072,98,-58,-820
9082,97,-53,-825
9092,99,-63,-825
9102,99,-61,-821
9112,103,-59,-817
9122,100,-56,-820
9131,100,-60,-814
9141,94,-56,-826
9151,99,-57,-825
9161,96,-58,-826
9171,107,-59,-825
9181,103,-63,-821
9191,96,-66,-826
9200,100,-60,-822
9210,107,-63,-817
9220,96,-64,-824
9230,101,-57,-819
9240,96,-60,-830
9250,100,-56,-826
9260,98,-62,-824
9269,97,-59,-821
9279,105,-63,-827
9289,106,-60,-818
9299,97,-57,-827
9309,102,-56,-822
9319,103,-57,-821
9329,97,-57,-817
9338,100,-56,-818
9348,102,-60,-824
9358,96,-64,-818
9368,98,-62,-826
9378,104,-60,-826
9388,98,-58,-820
9398,103,-65,-821
9407,101,-59,-823
9417,106,-56,-824
9427,104,-54,-816
9437,98,-58,-820
9447,105,-65,-829
9457,101,-63,-825
9467,90,-56,-824
9476,99,-57,-823
9486,96,-56,-822
9496,95,-57,-823
9506,99,-63,-823
9516,99,-55,-815
9526,102,-62,-826
9536,100,-58,-828
9545,94,-58,-824
9555,98,-56,-822
9565,106,-60,-818
9575,96,-58,-824
9585,95,-67,-821
9595,96,-56,-832
9605,104,-66,-818
9614,98,-62,-822
9624,99,-63,-821
9634,100,-62,-826
9644,90,-62,-830
9654,96,-58,-826
9664,101,-59,-823
9674,95,-61,-831
9683,103,-57,-825
9693,94,-58,-828
9703,102,-58,-828
9713,102,-62,-824
9723,93,-57,-827
9733,97,-61,-825
9743,102,-62,-820
9752,95,-57,-827
9762,96,-58,-822
9772,104,-60,-826
9782,97,-57,-821
9792,99,-59,-827
9802,101,-59,-823
9812,100,-56,-824
9821,102,-66,-818
9831,95,-55,-823
9841,100,-56,-832
9851,95,-55,-823
9861,98,-54,-828
9871,103,-61,-823
9881,98,-60,-822
9891,104,-60,-826
9900,102,-58,-826
9910,97,-59,-825
9920,96,-60,-826
9930,98,-60,-830
9940,100,-60,-818
9950,102,-54,-824
9960,96,-60,-820
9969,99,-61,-823
9979,100,-58,-830
9989,104,-62,-824
9999,101,-59,-813
10009,93,-61,-821
10019,97,-65,-831
10029,98,-60,-826
10038,93,-57,-827
10048,97,-55,-825
10058,101,-65,-821
10068,100,-64,-816
10078,105,-57,-817
10088,94,-56,-820
